,shots,shots_against,goals,goals_against,saves,assists,score,mvp,shooting_percentage,bpm,bcpm,avg_amount,amount_collected,amount_stolen,amount_collected_big,amount_stolen_big,amount_collected_small,amount_stolen_small,count_collected_big,count_stolen_big,count_collected_small,count_stolen_small,amount_overfill,amount_overfill_stolen,amount_used_while_supersonic,time_zero_boost,percent_zero_boost,time_full_boost,percent_full_boost,time_boost_0_25,time_boost_25_50,time_boost_50_75,time_boost_75_100,percent_boost_0_25,percent_boost_25_50,percent_boost_50_75,percent_boost_75_100,avg_speed,total_distance,time_supersonic_speed,time_boost_speed,time_slow_speed,time_ground,time_low_air,time_high_air,time_powerslide,count_powerslide,avg_powerslide_duration,avg_speed_percentage,percent_slow_speed,percent_boost_speed,percent_supersonic_speed,percent_ground,percent_low_air,percent_high_air,avg_distance_to_ball,avg_distance_to_ball_possession,avg_distance_to_ball_no_possession,avg_distance_to_mates,time_defensive_third,time_neutral_third,time_offensive_third,time_defensive_half,time_offensive_half,time_behind_ball,time_infront_ball,time_most_back,time_most_forward,time_closest_to_ball,time_farthest_from_ball,percent_defensive_third,percent_offensive_third,percent_neutral_third,percent_defensive_half,percent_offensive_half,percent_behind_ball,percent_infront_ball,percent_most_back,percent_most_forward,percent_closest_to_ball,percent_farthest_from_ball,inflicted,taken,player_name
EU P-J KC vs GA G1 2023-01-29.16.07,2,8,2,1,3,0,585,False,100,408,464.82574,52.85,2654,539,2088,382,566,157,26,6,54,15,556,221,263,31.82,9.2883415,43.12,12.586842,124.94,79.84,66.04,87.76,34.84299,22.2656,18.41709,24.474314,1544,519965,65.49,129.98,167.16,183.82,146.83,31.98,7.32,64,0.11,67.13043,46.096573,35.843697,18.05973,50.69078,40.490303,8.818906,3168,2891,3434,3814,189.39,111.98,61.26,247.99,114.64,276.39,86.24,128.3,115.9,102.6,136.8,52.226788,16.893251,30.87996,68.386505,31.61349,76.218185,23.781816,37.451107,33.831516,29.94921,39.93228,2,0,Vati
EU P-G G1 vs KC G5 2023-01-28.11.37,4,9,0,1,2,3,512,False,0,411,445.77686,46.84,2565,365,1635,125,930,240,20,2,76,21,396,77,258,37.59,10.888078,32.74,9.483259,129.1,79.07,60.31,77.52,37.31214,22.852602,17.430635,22.404623,1633,545899,72.6,141.95,144.83,192.81,130,36.57,7.63,66,0.12,71,40.29996,39.49858,20.201458,53.65073,36.17341,10.1758585,2989,2889,3160,3885,166.8,106.74,85.83,215.8,143.57,281.43,77.94,129.7,110.4,110.1,133.1,46.41456,23.883463,29.701979,60.049534,39.950474,78.31205,21.687954,37.56807,31.977755,31.89086,38.552895,0,2,Vati
EU P-G G1 vs KC G5 2023-01-28.17.37,4,9,0,1,2,3,512,False,0,411,445.4285,46.84,2565,365,1635,125,930,240,20,2,76,21,396,77,257,37.5,10.85352,32.66,9.452693,129.12,79.1,60.29,77.73,37.29205,22.845425,17.412777,22.449745,1633,545898,72.77,141.84,145.16,192.91,130.31,36.56,7.62,65,0.12,71,40.348,39.42519,20.22681,53.618877,36.219357,10.161766,3001,2899,3178,3883,167.11,106.82,85.84,216.34,143.44,281.79,77.99,130.2,110.6,110.8,133.5,46.449123,23.85969,29.691193,60.13119,39.86881,78.32286,21.677135,37.683422,32.01065,32.068535,38.638535,0,2,Vati
EU P-G G1 vs KC G4 2023-01-28.11.29,7,6,2,2,2,2,689,True,28.571428,431,464.97147,49.2,2688,792,1955,584,733,208,23,7,66,18,396,124,313,45.88,13.22724,58.9,16.980915,106.57,104.36,44.56,104.12,29.634884,29.020329,12.391202,28.95359,1608,547392,68.1,146.03,156.19,185.75,157.29,27.28,7.83,65,0.12,69.91304,42.177036,39.433464,18.3895,50.159325,42.474075,7.3666024,2584,2230,2935,3568,161.1,112.62,96.6,211.38,158.95,264.85,105.48,98.2,158.3,144,103.1,43.50292,26.085546,30.411535,57.07882,42.921177,71.517296,28.482704,28.311136,45.638012,41.515312,29.723808,2,0,Vati
EU P-G G1 vs KC G4 2023-01-28.17.29,7,6,2,2,2,2,689,True,28.571428,431,464.74368,49.2,2688,792,1955,584,733,208,23,7,66,18,396,124,323,45.83,13.206351,59.12,17.035992,106.69,104.32,44.77,104.16,29.64105,28.982609,12.438184,28.938156,1606,547154,68.32,145.72,156.43,185.73,157.37,27.36,7.86,66,0.12,69.82609,42.22474,39.33382,18.441439,50.13497,42.479626,7.3854136,2589,2242,2934,3564,161.29,112.82,96.35,211.67,158.79,265.01,105.45,99.5,157.7,144.7,104.1,43.53776,26.008207,30.454031,57.137074,42.862926,71.535385,28.46461,28.671873,45.442757,41.696682,29.997406,2,0,Vati
EU P-G G1 vs KC G3 2023-01-28.11.19,4,6,1,1,2,3,574,False,25,455,489.56158,52.52,2771,469,1992,242,779,227,24,3,72,19,460,57,328,27.7,8.156415,59.02,17.37876,110.83,59.03,78.93,104.22,31.39571,16.721905,22.359138,29.523243,1656,552672,80.19,135.84,144,189.55,144.29,26.19,6.05,62,0.1,72,39.996666,37.73019,22.273144,52.64839,40.077213,7.274394,2975,3122,2783,3794,147.17,126.09,86.78,213.05,146.99,286.34,73.7,136.4,107.9,112.4,119.2,40.876015,24.102879,35.02111,59.17398,40.82602,79.53006,20.469948,40.163715,31.77174,33.09679,35.099087,1,0,Vati
EU P-G G1 vs KC G3 2023-01-28.17.19,4,6,1,1,2,3,574,False,25,455,489.35983,52.52,2771,469,1992,242,779,227,24,3,72,19,460,57,328,27.77,8.173657,59.04,17.377483,110.86,59.17,78.79,104.44,31.381985,16.749702,22.303684,29.564627,1657,552641,80.18,135.88,144.12,189.59,144.5,26.09,6.26,61,0.1,72.04348,40.01333,37.725582,22.261091,52.63757,40.11883,7.2436004,2986,3144,2776,3794,147.01,126.56,86.61,213.35,146.83,286.18,74,137.4,107.6,112.2,120.7,40.8157,24.04631,35.13799,59.234272,40.765728,79.45472,20.545284,40.441498,31.670345,33.024284,35.526123,1,0,Vati
EU P-G G1 vs KC G2 2023-01-28.11.11,1,7,0,1,2,0,356,False,0,392,401.18915,58.01,2789,510,1875,267,914,243,27,3,84,21,868,36,325,49.58,11.886553,41.41,9.927837,132.95,65.82,83.36,135.75,31.815353,15.750933,19.94831,32.4854,1523,628074,67.64,168.35,183.83,212.4,182.3,25.12,12.08,96,0.13,66.21739,43.78781,40.100517,16.111666,50.59311,43.42337,5.9835167,2826,2744,2888,3411,219.8,136.96,63.05,298.56,121.26,313.39,106.43,185.4,133.6,122.4,148.1,52.357018,15.018699,32.624287,71.11619,28.883806,74.64866,25.351341,44.448708,32.029922,29.344778,35.506226,3,1,Vati
EU P-G G1 vs KC G2 2023-01-28.17.11,1,7,0,1,2,0,356,False,0,392,400.99686,58.01,2789,510,1875,267,914,243,27,3,84,21,868,36,325,49.45,11.849704,41.56,9.959023,133.12,65.67,83.74,135.59,31.83775,15.7060175,20.027744,32.42849,1520,627860,67.29,168.64,184.09,211.45,183.52,25.05,11.92,96,0.12,66.08696,43.828865,40.15047,16.020666,50.342842,43.693157,5.9640017,2833,2750,2898,3414,220.23,136.77,63.02,298.78,121.25,313.91,106.11,186.5,135,124.7,149.9,52.433216,15.004046,32.562733,71.13301,28.866985,74.736916,25.26308,44.690998,32.35005,29.881863,35.920536,3,1,Vati
EU P-G G1 vs KC G1 2023-01-28.11.03,2,7,0,2,1,1,321,False,0,401,407.63272,53.68,2948,760,1965,459,983,301,23,5,88,26,400,49,281,45.02,10.375184,50.56,11.651917,126.9,95.93,83.37,136.02,28.696121,21.692822,18.852606,30.758444,1561,660308,81.64,172.72,190.93,229.23,188.47,27.58,11.92,101,0.12,67.86957,42.877678,38.788208,18.33412,51.47997,42.326176,6.193856,2839,2787,2862,3517,197.57,144.42,103.29,268.98,176.31,348.94,96.35,172.5,131.4,130.8,160.9,44.36983,23.196638,32.43352,60.405582,39.59442,78.36241,21.637585,39.753872,30.282076,30.143805,37.080563,0,2,Vati
EU P-G G1 vs KC G1 2023-01-28.17.03,2,7,0,2,1,1,321,False,0,401,407.5978,53.56,2947,760,1964,459,983,301,23,5,88,26,393,49,281,45.27,10.435444,50.28,11.590327,127.07,95.82,83.3,135.91,28.742365,21.67383,18.84189,30.741913,1562,660306,81.53,172.8,190.83,228.84,188.61,27.7,11.62,97,0.12,67.91304,42.867733,38.817505,18.314764,51.407387,42.369984,6.2226214,2841,2783,2871,3517,197.36,144.61,103.18,269.05,176.11,348.51,96.64,172.6,133.1,131.1,161.1,44.335613,23.178703,32.485676,60.438942,39.561058,78.29046,21.709536,39.787003,30.681637,30.220606,37.136074,0,2,Vati
EU P-G G1 vs KC G0 2023-01-28.10.52,3,7,0,1,0,0,140,False,0,197,189.37708,53.64,1857,584,1605,463,252,121,21,6,22,11,505,146,104,37.25,6.3312654,45.45,7.724994,255.75,85.64,38.95,116.33,51.49294,17.242836,7.8422284,23.421988,1526,369756,96.42,173.21,324.77,315.08,244.16,35.16,4.51,33,0.14,66.347824,54.63829,29.140312,16.221401,53.008076,41.076717,5.915209,3028,2571,5140,3849,373.29,119.19,101.92,464.06,130.34,317.48,276.91,246.2,160.9,127.7,302,62.80114,17.146702,20.052153,78.072,21.927994,53.412743,46.587257,41.84584,27.347666,21.70477,51.329994,0,1,Vati
EU P-G G1 vs KC G0 2023-01-28.16.52,3,7,0,1,0,0,140,False,0,197,189.01726,53.64,1857,584,1605,463,252,121,21,6,22,11,505,146,100,37.33,6.332808,45.52,7.7221913,257.2,85.71,38.89,116.64,51.600998,17.19565,7.8023434,23.40101,1523,369753,96.99,159.51,339.87,329.45,231.81,35.11,4.57,33,0.14,66.21739,56.989788,26.746817,16.263393,55.24255,38.870163,5.8872848,3021,2557,5128,3852,374.22,120.3,101.86,466.11,130.27,340.89,255.49,294.1,124.6,144.6,309.2,62.74858,17.079714,20.171703,78.15655,21.843456,57.159863,42.840134,49.892277,21.137632,24.530514,52.453907,0,1,Vati
EU C KC vs VRTG G2,4,18,0,2,3,2,534,False,0,435,468.00415,49.88,4304,1116,2739,605,1565,511,32,7,121,36,514,110,520,61.88,11.214412,57.8,10.475,189.02,108.29,98.6,150.44,34.59687,19.82063,18.04704,27.535463,1566,840015,105.05,210.22,244.48,271.45,236.55,51.74,12.63,107,0.12,68.08696,43.67664,37.556053,18.767307,48.495735,42.260693,9.243578,2781,2487,3056,3628,238.4,184.16,137.19,331.92,227.83,404.97,154.77,200.9,185.1,180.7,208.3,42.590443,24.509155,32.900402,59.2979,40.7021,72.34966,27.650337,36.40878,33.545372,32.747967,37.74987,3,3,Vati
2023-01-27.19.02 CharlieB Private Loss,4,18,0,2,3,2,534,False,0,435,468.00415,49.88,4304,1116,2739,605,1565,511,32,7,121,36,514,110,520,61.88,11.214412,57.8,10.475,189.02,108.29,98.6,150.44,34.59687,19.82063,18.04704,27.535463,1566,840015,105.05,210.22,244.48,271.45,236.55,51.74,12.63,107,0.12,68.08696,43.67664,37.556053,18.767307,48.495735,42.260693,9.243578,2781,2487,3056,3628,238.4,184.16,137.19,331.92,227.83,404.97,154.77,200.9,185.2,180.9,208.3,42.590443,24.509155,32.900402,59.2979,40.7021,72.34966,27.650337,36.40878,33.563496,32.784214,37.74987,3,3,Vati
