,shots,shots_against,goals,goals_against,saves,assists,score,mvp,shooting_percentage,bpm,bcpm,avg_amount,amount_collected,amount_stolen,amount_collected_big,amount_stolen_big,amount_collected_small,amount_stolen_small,count_collected_big,count_stolen_big,count_collected_small,count_stolen_small,amount_overfill,amount_overfill_stolen,amount_used_while_supersonic,time_zero_boost,percent_zero_boost,time_full_boost,percent_full_boost,time_boost_0_25,time_boost_25_50,time_boost_50_75,time_boost_75_100,percent_boost_0_25,percent_boost_25_50,percent_boost_50_75,percent_boost_75_100,avg_speed,total_distance,time_supersonic_speed,time_boost_speed,time_slow_speed,time_ground,time_low_air,time_high_air,time_powerslide,count_powerslide,avg_powerslide_duration,avg_speed_percentage,percent_slow_speed,percent_boost_speed,percent_supersonic_speed,percent_ground,percent_low_air,percent_high_air,avg_distance_to_ball,avg_distance_to_ball_possession,avg_distance_to_ball_no_possession,avg_distance_to_mates,time_defensive_third,time_neutral_third,time_offensive_third,time_defensive_half,time_offensive_half,time_behind_ball,time_infront_ball,time_most_back,time_most_forward,time_closest_to_ball,time_farthest_from_ball,percent_defensive_third,percent_offensive_third,percent_neutral_third,percent_defensive_half,percent_offensive_half,percent_behind_ball,percent_infront_ball,percent_most_back,percent_most_forward,percent_closest_to_ball,percent_farthest_from_ball,inflicted,taken,player_name
EU R SLY vs KC G3 2022-11-11.12.00,1,9,0,1,2,1,309,False,0,433,508.1371,53.11,2909,866,2177,549,732,317,27,6,67,29,541,50,356,21.47,6.250546,45.26,13.176512,94.55,82.13,71.04,110.22,26.415041,22.945187,19.8469,30.79287,1671,568513,79.28,153.6,128.13,193.52,146.88,20.61,8.7,77,0.11,72.652176,35.492092,42.5473,21.96061,53.605164,40.685852,5.708983,2896,2878,2781,3628,141.23,142.77,77,206.93,154.08,222.7,138.31,102.7,136.3,91.8,132.7,39.121883,21.32964,39.548477,57.31974,42.680256,61.68804,38.31196,29.89898,39.680923,26.72567,38.63286,1,0,Vati
EU R SLY vs KC G2 2022-11-11.11.52,5,2,0,0,0,1,194,False,0,449,457.05273,53.61,2367,701,1666,440,701,261,21,5,64,24,381,61,278,39.21,12.618671,51.24,16.4902,117.82,48.98,39.57,102.53,38.141796,15.856264,12.809971,33.19197,1643,501279,69.68,123.56,120.37,158.73,131.93,22.95,5.75,54,0.11,71.434784,38.38207,39.399254,22.21868,50.613823,42.068172,7.318007,3095,2948,3253,4098,108.55,102.5,102.55,153.11,160.5,235.36,78.25,106,113.1,100.4,132.5,34.61416,32.700893,32.684948,48.82179,51.17822,75.04863,24.951374,34.113216,36.39816,32.31101,42.64152,0,1,Vati
EU R SLY vs KC G1 2022-11-11.11.46,3,5,1,2,1,3,548,True,33.333332,449,490.53854,51.54,2804,565,2143,371,661,194,23,4,62,18,212,40,327,61.01,17.788729,39.96,11.651165,143.02,70.31,46.71,91.8,40.649155,19.983513,13.27592,26.091404,1715,578499,88.28,157.56,117.44,175.38,157.39,30.5,5.96,54,0.11,74.565216,32.327682,43.371506,24.300816,48.278137,43.325897,8.395959,3008,2753,3273,3790,134.19,122.9,106.18,199.68,163.59,267.43,95.85,113.8,118.4,105,141.6,36.93947,29.228949,33.831585,54.96738,45.032623,73.615395,26.384607,33.180744,34.52197,30.614922,41.28641,3,0,Vati
EU R SLY vs KC G0 2022-11-11.11.37,2,0,1,0,0,0,176,True,50,426,382.9922,52.78,605,218,489,200,116,18,7,2,11,2,215,5,110,10.51,11.088838,13.38,14.116902,31.8,15.09,15.59,27.54,35.32548,16.762941,17.318373,30.5932,1761,165157,29.67,37.02,28.09,38.02,41.28,15.47,1,10,0.1,76.565216,29.637054,39.058872,31.304073,40.11818,43.558086,16.32373,2913,3092,2349,4259,53.02,19.1,22.66,63.35,31.43,74.3,20.48,40.9,13.9,24.4,37,55.94007,23.907997,20.151932,66.839,33.161003,78.392075,21.607935,43.15257,14.665542,25.743828,39.037773,1,0,Vati
EU I OXG vs KC G4 2022-11-11.17.22,5,5,0,0,1,1,303,False,0,400,412.3909,55.16,2221,607,1601,380,620,227,21,4,49,13,516,19,174,36.67,11.3480215,57.61,17.828186,68.39,81.11,68.67,109.84,20.849974,24.727903,20.935337,33.486782,1525,490888,54.61,120.11,154.29,173.84,126.26,28.9,7,59,0.12,66.304344,46.895226,36.50649,16.59828,52.838905,38.3769,8.784195,3056,3033,3108,3696,123.78,130.93,74.3,188.9,140.1,231.28,97.73,102.3,132.9,93.3,143.9,37.621956,22.582901,39.79514,57.416412,42.58359,70.29573,29.704264,31.658104,41.127678,28.872932,44.531776,2,0,Vati
EU I KC vs OXG G3 2022-11-11.17.15,2,11,0,6,2,1,276,False,0,421,485.99152,52.22,2813,762,2094,500,719,262,26,6,65,23,550,110,320,36.63,10.54738,40.66,11.707794,109.85,57.01,76.82,122.61,29.9899,15.564172,20.972454,33.47348,1637,559684,88.25,135.75,146.77,173.42,171.17,26.18,6.6,61,0.11,71.17391,39.585186,36.61299,23.801817,46.772934,46.16609,7.0609813,2565,2305,2737,3502,194.02,115.13,61.62,255.05,115.72,235.42,135.36,93.6,125.6,127.1,107.4,52.328938,16.619469,31.051596,68.789276,31.210722,63.493176,36.506824,26.951538,36.16574,36.597656,30.925163,0,0,Vati
EU I OXG vs KC G3 2022-11-11.17.15,2,11,0,6,2,1,276,False,0,421,485.47324,52.38,2810,762,2094,500,716,262,26,6,65,23,550,110,325,36.47,10.50131,40.6,11.690517,109.73,57.25,76.73,122.49,29.964499,15.6335335,20.953032,33.448933,1647,559903,88.16,135.68,146.53,173.78,170.48,26.11,6.39,60,0.11,71.608696,39.56314,36.633633,23.803225,46.920647,46.029648,7.049707,2543,2270,2728,3500,193.84,115.06,61.47,254.62,115.75,234.18,136.2,92.7,123.4,125.5,106.8,52.336853,16.596916,31.06623,68.74747,31.252531,63.226955,36.773045,26.692389,35.532265,36.136944,30.752396,0,0,Vati
EU I KC vs OXG G2 2022-11-11.17.06,2,12,1,2,5,1,812,True,50,442,454.92896,48.6,3325,1089,2427,840,898,249,30,9,79,22,601,63,470,64.97,14.815406,51.13,11.659408,180.69,75.79,66.39,109.82,41.75969,17.516005,15.343549,25.380758,1560,667642,78.79,177.91,193.54,220.51,185.6,44.12,8.65,77,0.11,67.82609,42.985962,39.51448,17.499556,48.977192,41.223377,9.799437,2817,2757,2781,3461,216.65,128.81,104.78,287.98,162.26,344.31,105.93,155.9,153.7,144.5,176.3,48.118782,23.272034,28.609186,63.96145,36.038555,76.47255,23.527452,35.550587,35.048912,32.950996,40.202496,0,2,Vati
EU I OXG vs KC G2 2022-11-11.17.06,2,12,1,2,5,1,812,True,50,442,454.8771,48.6,3325,1089,2427,840,898,249,30,9,79,22,601,63,470,65,14.820558,51.12,11.655799,180.63,75.81,66.52,109.68,41.75065,17.522652,15.375369,25.351332,1567,667651,78.83,177.85,193.23,220.06,185.91,43.94,8.25,75,0.11,68.13043,42.948586,39.530125,17.52128,48.912003,41.321598,9.766397,2800,2744,2764,3458,216.26,129.01,104.63,287.66,162.25,343.78,106.13,154.8,152.9,142.9,174.4,48.068462,23.25628,28.67526,63.937233,36.062767,76.410835,23.589163,35.295727,34.86251,32.582424,39.764698,0,2,Vati
EU I KC vs OXG G1 2022-11-11.16.56,2,7,0,1,2,1,286,False,0,389,397.24292,46.65,2142,304,1440,79,702,225,16,1,54,19,178,20,185,46.29,14.307793,40.68,12.573795,123.41,64.75,54.44,89.88,37.11802,19.474855,16.373917,27.033205,1522,488942,64.29,115.04,155.93,166.36,133.51,35.39,6.01,54,0.11,66.17391,46.510166,34.313667,19.17616,49.62119,39.82282,10.555986,2823,2829,2829,3459,192.47,88.05,54.74,243.04,92.22,243.84,91.43,124.6,120.1,92.4,128.5,57.409172,16.327625,26.263199,72.49299,27.50701,72.72945,27.27056,38.512657,37.12175,28.559948,39.71811,0,0,Vati
EU I OXG vs KC G1 2022-11-11.16.56,2,7,0,1,2,1,286,False,0,389,397.24164,46.45,2141,304,1440,79,701,225,16,1,54,19,178,20,185,46.26,14.305152,40.57,12.545611,123.24,64.88,54.41,89.79,37.084736,19.52335,16.372772,27.019138,1529,488888,64.46,114.87,155.68,166.45,133,35.56,5.9,54,0.11,66.478264,46.470253,34.288532,19.241219,49.68508,39.700306,10.614609,2831,2842,2831,3458,191.99,88.18,54.84,242.99,92.02,243.72,91.29,123.1,118.8,90.3,127,57.308735,16.36966,26.321602,72.53216,27.467836,72.75007,27.249931,38.06667,36.736965,27.923805,39.272682,0,0,Vati
EU I KC vs OXG G0 2022-11-11.16.48,0,4,0,2,0,0,0,False,0,0,0,33.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,22,0,0,0.29,0.16,0.12,0,0,0,0,2.3913043,100,0,0,57.142857,42.857143,0,6971,0,0,3222,0.29,0,0,0.29,0,0.29,0,0.2,,,0.3,100,0,0,100,0,100,0,22.727272,,,34.09091,0,0,Vati
EU I OXG vs KC G0 2022-11-11.16.48,0,4,0,2,0,0,0,False,0,0,0,33.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,21,0,0,0.79,0.72,0.07,0,0,0,0,2.7826087,100,0,0,91.13924,8.860759,0,7185,0,0,2976,0.79,0,0,0.79,0,0.79,0,0.6,,,0.8,100,0,0,100,0,100,0,67.41573,,,89.88764,0,0,Vati
EU A KC vs WRSV G5 2022-11-11.16.38,5,3,0,1,1,1,295,False,0,463,504.74326,53.23,2749,781,2203,561,546,220,28,6,51,20,651,60,334,41.46,12.687435,45.13,13.810514,102.06,60.38,60.14,111.74,30.527637,18.060541,17.988752,33.423065,1717,556249,77.44,153.99,107.31,168.24,133.93,36.57,5.82,55,0.11,74.652176,31.679165,45.45965,22.861193,49.666412,39.537697,10.795891,2988,2935,3090,3858,119.28,122.67,96.78,179.57,159.17,238.95,99.78,117.7,141.1,121.7,145.5,35.21389,28.57143,36.214687,53.01116,46.988842,70.542915,29.457092,36.018116,43.1789,37.24218,44.525368,1,0,Vati
EU A KC vs WRSV G4 2022-11-11.16.31,7,10,1,2,2,0,465,False,14.285714,420,427.0831,61.58,2972,1197,2120,791,852,406,28,10,78,33,674,158,487,26.98,6.461811,73.44,17.589155,104.12,56.86,90.7,171.78,24.587917,13.427478,21.418787,40.56581,1626,670578,83.08,182.52,161.75,237.91,152.96,36.48,9.6,79,0.12,70.695656,37.849533,42.70972,19.440739,55.670994,35.79268,8.536328,2657,2464,2869,3663,156.98,145.49,124.88,229.03,198.31,312.82,114.53,118.1,171.3,152.6,137.4,36.73336,29.22195,34.044697,53.59433,46.405674,73.19995,26.800047,28.285393,41.026993,36.548275,32.907814,1,1,Vati
EU A KC vs WRSV G3 2022-11-11.16.22,5,4,2,0,1,2,582,True,40,451,450.34686,48.41,2467,442,1723,301,744,141,21,4,59,14,410,108,449,38.97,11.856517,55.75,16.961786,102.5,69.6,66.47,99.27,30.339806,20.601469,19.674994,29.383732,1663,540302,70.14,146.31,126.8,175.74,139.06,28.46,5.57,50,0.11,72.304344,36.941006,42.62491,20.434086,51.197346,40.511566,8.291092,2847,2623,3123,3552,164.09,103.39,75.78,220.06,123.19,254.41,88.84,106.8,126.9,115.3,117.4,47.803413,22.07656,30.120026,64.11071,35.889294,74.11799,25.88201,32.49361,38.608982,35.079712,35.71863,1,0,Vati
EU A KC vs WRSV G2 2022-11-11.16.15,4,6,1,1,5,3,855,True,25,430,449.1638,54.09,2538,734,1877,584,661,150,20,6,53,14,174,28,260,49.7,14.65947,61.5,18.139988,104.51,52.33,57.42,131.84,30.196478,15.119908,16.590582,38.09304,1554,510054,48.28,152.42,152.62,188.84,136.4,28.09,7.34,61,0.12,67.565216,43.195972,43.139366,13.664667,53.44579,38.604137,7.950075,2954,2953,2979,3720,157.99,99.89,95.44,210.37,142.95,273.66,79.66,125,114.7,117.3,135.8,44.71584,27.012339,28.27182,59.540924,40.459072,77.453865,22.546135,36.869892,33.831814,34.59871,40.055454,0,2,Vati
EU A KC vs WRSV G1 2022-11-11.16.07,3,11,0,2,4,1,453,False,0,436,458.80942,52.54,2483,606,1643,288,840,318,19,3,63,21,303,27,319,33.45,10.3015,51.4,15.82951,86.34,76.55,52.56,109.87,26.540022,23.530678,16.156399,33.7729,1628,512880,63.57,139.7,126.85,161.51,142.77,25.84,5.4,51,0.11,70.78261,38.425423,42.317947,19.256634,48.924633,43.24791,7.827457,2900,2768,3034,3705,123.81,118.96,87.35,187.54,142.57,218.77,111.35,103.1,147.5,111.7,140.5,37.504543,26.460075,36.03538,56.811367,43.18864,66.269844,33.73016,31.75141,45.425148,34.399925,43.26938,0,2,Vati
EU G KC vs QUAD G6 2022-10-30.19.06,1,12,1,2,4,1,563,False,100,380,378.89017,48.87,2301,112,1631,0,670,112,20,0,62,10,317,4,261,47.95,13.159339,30.21,8.290795,159.85,92.75,41.22,74.74,43.371502,25.165508,11.184068,20.278923,1467,509710,56.62,132,194.55,199.12,169.5,14.54,5.87,56,0.1,63.782608,50.77381,34.449463,14.7767315,51.967846,44.237392,3.7947593,2847,3097,2548,3444,243.58,106.53,33.05,305.92,77.25,315.72,67.44,149.9,96.4,127.3,101.6,63.571354,8.625639,27.803007,79.83924,20.160763,82.398994,17.601002,41.13837,26.455898,34.936054,27.882978,0,2,Vati
EU G KC vs QUAD G5 2022-10-30.18.55,3,4,2,0,0,0,372,True,66.666664,424,412.3828,53.52,2178,464,1539,300,639,164,18,3,61,16,315,12,284,23.29,7.349553,41.16,12.988733,83.4,73.75,70.36,84.85,26.699963,23.610579,22.525291,27.164171,1559,485664,56.12,128.32,138.2,178.99,124.33,19.32,5.04,44,0.11,67.78261,42.834118,39.771885,17.394,55.47669,38.53521,5.988098,2913,2941,2879,3676,156.5,90.22,75.92,201.31,121.33,237.37,85.27,118.8,111.8,93.7,118.4,48.506073,23.530869,27.963053,62.394615,37.605377,73.57117,26.428839,37.48935,35.28038,29.568619,37.36312,3,1,Vati
EU G KC vs QUAD G4 2022-10-30.18.49,2,6,1,2,0,0,268,False,50,421,458.30243,48.96,2473,658,1780,387,693,271,21,4,57,17,357,27,316,35.91,11.091549,52.58,16.240425,111.41,65.47,35.61,108.75,34.681236,20.380402,11.085171,33.853195,1586,489591,62.24,132.06,131.99,157.24,151.16,17.88,6.43,60,0.11,68.95652,40.45175,40.4732,19.075058,48.191734,46.328304,5.479955,2971,2827,3128,3506,151.6,102.25,72.44,204.92,121.36,238.97,87.31,121.8,116.5,103.8,134.7,46.46174,22.201109,31.337152,62.804955,37.195045,73.240776,26.759226,37.620457,35.983444,32.060783,41.604893,0,3,Vati
EU G KC vs QUAD G3 2022-10-30.18.40,3,8,0,5,0,0,154,False,0,449,445.2602,51.88,2527,551,1975,385,552,166,22,4,52,15,248,21,312,37.53,11.021379,35.23,10.345942,117.41,64.04,65.41,104.1,33.453953,18.247093,18.637451,29.661497,1641,544934,78.03,131.25,148.27,190.21,141.11,26.23,6.54,57,0.11,71.347824,41.468323,36.70815,21.82352,53.19815,39.465805,7.3360367,2799,2628,2934,3840,156.71,119.88,80.96,224.22,133.33,243.61,113.94,123.4,126.4,118.3,117.9,43.828835,22.642986,33.528175,62.710114,37.28989,68.13313,31.866873,36.238693,37.1197,34.740986,34.62352,0,1,Vati
EU G KC vs QUAD G2 2022-10-30.18.30,2,6,1,1,2,1,436,True,50,423,443.8733,53.05,2389,506,1856,361,533,145,21,4,52,14,298,38,354,17.89,5.5399003,50.95,15.777413,93.93,60.7,50.44,123.05,28.626722,18.49933,15.372425,37.501526,1547,489620,64.12,114.33,152.99,176.95,138.95,15.54,5.88,59,0.1,67.26087,46.159187,34.49493,19.345886,53.388245,41.923122,4.6886315,2981,2694,3222,3697,151.7,117.93,61.81,218.09,113.35,254.39,77.05,116.7,110.2,104.4,116,45.769974,18.648926,35.5811,65.80075,34.199253,76.75295,23.247044,36.137863,34.125042,32.328987,35.921097,0,1,Vati
EU G KC vs QUAD G1 2022-10-30.18.23,5,5,1,2,3,1,650,True,20,380,396.93466,46.17,2633,671,1817,391,816,280,20,4,76,25,240,24,390,62.04,15.587939,60.44,15.185929,148.81,76.65,71.45,102.68,37.240673,19.182163,17.880829,25.69634,1675,651834,85.63,180.62,146.16,206.06,180.54,25.81,7.16,69,0.1,72.82609,35.44046,43.796223,20.763317,49.964844,43.77683,6.2583356,2839,2686,2984,3552,173.04,133.32,106.04,240.9,171.51,281.37,131.04,146.2,139.9,133.2,157,41.959263,25.7129,32.32784,58.41275,41.587257,68.2258,31.774204,36.73367,35.150753,33.46734,39.447235,0,1,Vati
EU G KC vs QUAD G0 2022-10-30.18.13,1,1,0,1,0,1,80,False,0,448,582.5545,55.57,561,338,471,287,90,51,5,3,9,5,46,21,25,5.99,10.366909,7.58,13.118727,22.8,4.45,3.59,27.52,39.067856,7.625085,6.1514735,47.155586,1861,105225,22.8,21.86,16,22.02,34.04,4.61,1.07,8,0.13,80.91304,26.376526,36.036926,37.586548,36.29471,56.106804,7.5984836,2150,1978,1471,3797,17.67,15.37,27.62,23.63,37.04,43.44,17.23,18.6,26.2,33.2,17.5,29.129574,45.532475,25.33795,38.94841,61.051594,71.600464,28.39954,32.19107,45.34441,57.45933,30.287298,0,0,Vati
EU F KC vs MST G5 2022-10-30.16.44,4,3,2,0,2,0,471,True,50,412,424.70712,61.07,2308,174,1404,0,904,174,16,0,85,16,276,13,378,35.96,11.0286455,35.13,10.774091,72.37,58.07,66.79,135.34,21.760834,17.460985,20.082989,40.69519,1542,496253,53.96,128.8,154.88,192.31,121.7,23.63,6.97,61,0.11,67.04348,45.871346,38.14714,15.98152,56.95711,36.044308,6.998578,3028,2917,3151,3614,147.95,126.38,63.32,215.4,122.24,258.38,79.26,110.8,102,97.4,123.9,43.817562,18.753147,37.42929,63.79576,36.204243,76.52529,23.474707,33.981476,31.282587,29.871803,37.99914,1,0,Vati
EU F KC vs MST G6 2022-10-30.16.44,4,3,2,0,2,0,471,True,50,412,425.00842,60.93,2309,174,1404,0,905,174,16,0,85,16,267,13,358,35.92,11.019418,35.06,10.755591,72.41,58.07,66.78,135.24,21.777445,17.464663,20.084211,40.673687,1545,496249,54.14,128.5,154.91,192.02,121.84,23.69,7.04,63,0.11,67.17391,45.892464,38.068436,16.039106,56.88639,36.095394,7.01822,3021,2914,3140,3617,147.75,126.48,63.32,215.1,122.45,258.03,79.51,109.1,100.4,94.8,122.8,43.77129,18.758701,37.47,63.723896,36.276108,76.444275,23.555727,33.469337,30.80038,29.08243,37.67218,1,0,Vati
EU F KC vs MST G4 2022-10-30.16.36,1,7,1,1,2,1,404,False,100,333,337.74103,50.45,1839,208,1074,100,765,108,13,1,68,9,278,0,260,46.91,14.358738,33.31,10.195899,131.74,51.21,52.26,93.51,40.076664,15.578608,15.898028,28.446703,1492,476339,44.35,134.19,159.76,183.53,131.98,22.78,6.65,50,0.13,64.86957,47.22435,39.665974,13.109665,54.252266,39.013863,6.733867,2682,2756,2604,3361,196.27,102.51,39.51,259.31,78.98,257.65,80.64,116,102,119.8,106.2,58.01827,11.679327,30.302402,76.65317,23.346834,76.16247,23.837538,35.50658,31.221302,36.669727,32.506886,0,1,Vati
EU F KC vs MST G5 2022-10-30.16.36,1,7,1,1,2,1,404,False,100,333,337.75137,50.45,1839,208,1074,100,765,108,13,1,68,9,278,0,260,46.75,14.310203,33.5,10.25437,131.73,51.23,52.25,93.45,40.080936,15.587539,15.89789,28.433641,1490,476322,44.52,134.03,159.52,183.76,131.48,22.83,6.4,50,0.13,64.78261,47.185497,39.645638,13.168871,54.35561,38.891357,6.75304,2680,2762,2594,3366,195.99,102.46,39.62,259.12,78.95,257.4,80.67,115.1,99.9,117.9,104.4,57.973198,11.719466,30.307333,76.64684,23.35315,76.13808,23.861921,35.232178,30.579449,36.08926,31.956902,0,1,Vati
EU F KC vs MST G3 2022-10-30.16.29,5,7,0,2,2,1,377,False,0,442,473.34177,51.6,2619,488,1669,283,950,205,19,3,81,19,328,24,233,43.42,13.079101,55.05,16.582323,113.19,67.42,63.34,92.76,33.616467,20.023167,18.811441,27.54893,1513,487702,63.1,115.68,159.02,182.81,131.68,23.31,6.11,53,0.12,65.78261,47.07519,34.245113,18.679691,54.117825,38.981644,6.900533,3051,2963,3158,3766,150.38,103.12,84.29,212.39,125.4,272.95,64.85,122.6,110.4,110.1,132.5,44.518784,24.953373,30.527842,62.876343,37.123657,80.80225,19.197748,36.929935,33.255013,33.164646,39.91204,1,2,Vati
EU F KC vs MST G4 2022-10-30.16.29,5,7,0,2,2,1,377,False,0,442,473.5843,51.6,2619,488,1669,283,950,205,19,3,81,19,328,24,236,43.56,13.1279955,55.14,16.617945,113.06,67.49,63.29,92.7,33.594822,20.054081,18.806087,27.54502,1514,487743,62.72,115.88,158.86,182.45,131.73,23.27,5.87,53,0.11,65.82609,47.07521,34.338886,18.585907,54.067272,39.036896,6.895837,3040,2962,3137,3755,149.93,103.25,84.27,212.38,125.07,272.62,64.83,120.2,108.3,108.7,130.1,44.430286,24.97259,30.597128,62.93673,37.063267,80.78826,19.211735,36.22555,32.63916,32.759712,39.20919,1,2,Vati
EU F KC vs MST G2 2022-10-30.16.20,6,11,2,2,2,0,633,True,33.333332,370,385.55948,50.69,3932,391,2666,180,1266,211,34,2,99,18,768,25,343,80.9,13.221331,87.79,14.34735,211.48,107.63,90.02,203.27,34.532986,17.575115,14.699544,33.19236,1493,899193,93.02,231.04,299.27,306.01,271.89,45.43,11.8,102,0.12,64.91304,48.011482,37.065437,14.923074,49.092773,43.61895,7.2882743,2957,2720,3165,3546,318.13,194.35,110.85,434.9,188.44,440.8,182.53,218,208.9,194.7,232.6,51.03717,17.783518,31.17931,69.76931,30.230694,70.71696,29.283047,35.62732,34.14012,31.819445,38.013367,1,2,Vati
EU F KC vs MST G3 2022-10-30.16.20,6,11,2,2,2,0,633,True,33.333332,368,384.0471,50.6,3916,391,2666,180,1250,211,34,2,98,18,719,25,306,81.04,13.24616,87.84,14.357634,211.2,107.86,88.79,204.51,34.489517,17.613823,14.499641,33.397022,1497,899296,92.65,230.95,299.57,305.7,271.91,45.56,12.13,103,0.12,65.08696,48.071953,37.06051,14.867531,49.05564,43.633358,7.311007,2964,2729,3167,3546,317.77,194.25,111.15,434.71,188.47,440.71,182.46,213.4,205.3,189.9,226.7,50.992504,17.836226,31.17127,69.75673,30.243269,70.72067,29.279331,34.88068,33.556717,31.039557,37.054592,1,2,Vati
EU F KC vs MST G1 2022-10-30.16.07,3,10,0,1,2,0,364,False,0,381,414.41016,54.68,2640,533,1759,282,881,251,23,3,80,22,584,17,472,51.39,13.444784,40.87,10.692514,129.12,66.19,84.23,110.01,33.145935,16.9914,21.622383,28.240276,1578,591140,74.33,148.99,167.73,226.16,149.04,15.86,9.35,82,0.11,68.608696,42.892216,38.09999,19.007801,57.832558,38.111797,4.0556436,2719,2355,3062,3476,195.73,125.18,70.15,262.4,128.65,287.05,104,132.3,127.4,126.2,138.6,50.051144,17.938423,32.010433,67.101395,32.898605,73.40493,26.595066,34.612667,33.330715,33.01677,36.26089,0,1,Vati
EU F KC vs MST G2 2022-10-30.16.07,3,10,0,1,2,0,364,False,0,382,414.50775,54.79,2640,533,1759,282,881,251,23,3,80,22,584,17,419,51.33,13.432249,41.41,10.836342,129.09,66.14,84.35,110.43,33.09915,16.95854,21.627651,28.314661,1575,591160,74.35,148.43,167.99,226.47,148.55,15.74,9.44,83,0.11,68.478264,42.989483,37.98398,19.026537,57.956287,38.01566,4.028048,2723,2377,3056,3477,195.57,124.93,70.26,262.52,128.24,286.66,104.1,131.1,124.9,123.1,137.4,50.048622,17.980345,31.97103,67.18189,32.8181,73.359604,26.640392,34.3068,32.684357,32.213326,35.955406,0,1,Vati
EU C KC vs BDS G6 2022-10-29.11.43,4,6,1,0,2,0,491,True,25,391,401.08676,47.07,2362,172,1768,0,594,172,21,0,54,15,358,0,199,64.45,18.240221,47.29,13.38371,124.96,90.21,48,92.75,35.109016,25.345585,13.486177,26.059229,1552,544577,55.39,154.03,148.27,152.22,165.76,39.7,5.39,51,0.11,67.478264,41.452095,43.062428,15.4854765,42.557594,46.3431,11.099307,2399,2095,2715,3342,170.92,103.82,82.95,216.94,140.74,256.77,100.91,123.6,118.3,143.1,121.1,47.784393,23.190472,29.025133,60.65198,39.348022,71.78763,28.21237,34.980473,33.4805,40.49924,34.272938,0,0,Vati
EU C BDS vs KC G6 2022-10-29.17.43,4,6,1,0,2,0,491,True,25,391,400.85986,47.07,2362,172,1768,0,594,172,21,0,54,15,358,0,199,64.64,18.283646,47.44,13.418566,125.01,90.2,48.02,92.88,35.104324,25.329254,13.484598,26.08183,1554,544565,55.64,153.55,148.73,152.52,165.45,39.94,5.39,52,0.1,67.565216,41.55398,42.90065,15.545374,42.614063,46.226704,11.159229,2399,2087,2728,3342,170.92,103.88,83.12,216.9,141.02,256.77,101.16,123.7,118.5,143.1,120.9,47.753685,23.223066,29.023245,60.600136,39.399868,71.73749,28.26251,34.988968,33.51813,40.476326,34.19698,0,0,Vati
EU C KC vs BDS G5 2022-10-29.11.34,0,6,0,2,3,0,370,False,0,376,399.44946,49.79,2225,493,1418,331,807,162,19,4,71,14,491,70,298,24.56,7.3486733,43.46,13.0038,103.86,102.72,69.66,67.41,30.22261,29.890879,20.270626,19.61589,1513,500500,56.25,127.73,161.87,192.32,129.47,24.05,7.33,71,0.1,65.78261,46.803528,36.932194,16.264277,55.60953,37.436386,6.954083,2849,2771,2926,3351,184.75,104.09,57,246.41,99.43,244.2,101.64,133.1,92.9,102.2,117.9,53.42066,16.48161,30.097733,71.24971,28.75029,70.61069,29.389313,39.825264,27.796894,30.579576,35.27722,1,0,Vati
EU C BDS vs KC G5 2022-10-29.17.34,0,6,0,2,3,0,370,False,0,376,399.27026,49.79,2225,493,1418,331,807,162,19,4,71,14,491,70,298,24.61,7.3603306,43.31,12.953105,104.06,102.64,69.63,67.54,30.261436,29.84849,20.24893,19.641144,1513,500371,56.33,127.51,162.1,192.55,129.24,24.14,7.41,69,0.11,65.78261,46.857838,36.858994,16.28317,55.661552,37.360165,6.9782906,2843,2753,2930,3348,185.01,103.87,57.06,246.5,99.43,244.27,101.66,133.8,92.8,102.3,117.9,53.480373,16.49419,30.025438,71.257195,28.74281,70.61256,29.38745,40.01675,27.754517,30.595766,35.2614,1,0,Vati
EU C KC vs BDS G4 2022-10-29.11.27,2,9,1,1,3,0,444,False,50,350,374.52277,50.19,2011,361,1365,208,646,153,17,3,57,13,371,95,313,23.18,7.1949587,35.39,10.984883,83.02,103.48,45.34,85.88,26.129925,32.569557,14.270427,27.030088,1525,477741,57.12,116.82,153.75,194.84,123.38,9.47,8.4,74,0.11,66.304344,46.919346,35.649548,17.431108,59.458633,37.65144,2.8899264,2774,2654,2913,3492,172.19,97.84,57.66,222.87,104.82,248.93,78.76,121.1,114.9,100,114.9,52.546616,17.595898,29.857487,68.01245,31.987549,75.96509,24.03491,37.58885,35.6644,31.039513,35.6644,2,2,Vati
EU C KC vs BDS G3 2022-10-29.11.18,2,4,1,0,1,0,236,False,50,412,429.98273,55.49,2285,664,1669,506,616,158,20,6,57,14,380,99,227,28.41,8.910146,40.89,12.824212,72.03,88.13,48.88,106.37,22.836943,27.94141,15.497289,33.724358,1539,478127,53.63,122.93,145.07,181.93,121.16,18.53,6.39,57,0.11,66.91304,45.104626,38.220936,16.674438,56.566757,37.671787,5.761458,3079,2928,3241,3780,171.17,87.8,62.66,218.11,103.51,259.63,62,124,114.5,99.7,121.9,53.219536,19.482014,27.298449,67.816055,32.183945,80.72319,19.276808,38.88976,35.9103,31.268621,38.231144,0,2,Vati
