,shots,shots_against,goals,goals_against,saves,assists,score,mvp,shooting_percentage,bpm,bcpm,avg_amount,amount_collected,amount_stolen,amount_collected_big,amount_stolen_big,amount_collected_small,amount_stolen_small,count_collected_big,count_stolen_big,count_collected_small,count_stolen_small,amount_overfill,amount_overfill_stolen,amount_used_while_supersonic,time_zero_boost,percent_zero_boost,time_full_boost,percent_full_boost,time_boost_0_25,time_boost_25_50,time_boost_50_75,time_boost_75_100,percent_boost_0_25,percent_boost_25_50,percent_boost_50_75,percent_boost_75_100,avg_speed,total_distance,time_supersonic_speed,time_boost_speed,time_slow_speed,time_ground,time_low_air,time_high_air,time_powerslide,count_powerslide,avg_powerslide_duration,avg_speed_percentage,percent_slow_speed,percent_boost_speed,percent_supersonic_speed,percent_ground,percent_low_air,percent_high_air,avg_distance_to_ball,avg_distance_to_ball_possession,avg_distance_to_ball_no_possession,avg_distance_to_mates,time_defensive_third,time_neutral_third,time_offensive_third,time_defensive_half,time_offensive_half,time_behind_ball,time_infront_ball,time_most_back,time_most_forward,goals_against_while_last_defender,time_closest_to_ball,time_farthest_from_ball,percent_defensive_third,percent_offensive_third,percent_neutral_third,percent_defensive_half,percent_offensive_half,percent_behind_ball,percent_infront_ball,percent_most_back,percent_most_forward,percent_closest_to_ball,percent_farthest_from_ball,inflicted,taken,player_name
EU O OXG vs BDS G6 2023-01-27.17.40,1,10,0,0,5,0,424,True,0,372,360.2147,57.13,1879,499,1161,338,718,161,15,5,66,14,301,161,177,27.02,8.63314,32.63,10.425586,83.02,66.12,47.34,106.34,27.415627,21.834755,15.633049,35.11657,1399,422280,35.86,97.23,176.79,186.75,104.31,18.82,5.08,45,0.11,60.826088,57.051117,31.376661,11.572222,60.265263,33.661415,6.0733185,2713,2729,2709,3349,166.79,91.67,51.42,224.74,85.14,229.46,80.42,103.2,104.7,,101.4,95.3,53.82406,16.59352,29.582418,72.52485,27.475151,74.04802,25.95198,32.97335,33.452614,32.398235,30.449228,1,3,M0nkey M00n
EU O BDS vs OXG G4 2023-01-27.17.33,4,7,0,3,2,1,429,False,0,438,468.5181,54.15,3062,532,2152,300,910,232,24,3,86,20,298,0,470,35.6,9.078621,31.16,7.9463444,132.44,64.71,104.26,96.37,33.294785,16.267786,26.210468,24.22696,1583,606129,69.09,163.99,171.66,243.18,138.67,22.89,5.71,46,0.12,68.82609,42.41241,40.51737,17.070215,60.08302,34.2615,5.655483,2903,2668,3179,3770,164.88,154.4,85.46,253.53,151.21,304.63,100.11,157.2,106.1,1,122.4,145,40.737263,21.11479,38.147945,62.640217,37.35979,75.2656,24.734398,40.088745,27.057354,31.214138,36.97753,1,2,M0nkey M00n
EU O OXG vs BDS G5 2023-01-27.17.33,4,7,0,3,2,1,429,False,0,440,470.1892,54,3073,532,2163,300,910,232,24,3,86,20,280,0,443,35.6,9.078389,31.22,7.961442,132.43,65.45,104.25,95.63,33.29394,16.454645,26.20927,24.042135,1588,606139,69.03,163.85,171.8,243.24,138.64,22.8,5.6,45,0.12,69.04348,42.453293,40.488777,17.05792,60.10675,34.259167,5.6340814,2908,2704,3160,3770,165.01,154.32,85.34,253.35,151.32,305.29,99.39,153.9,105.6,1,121.6,141.4,40.776436,21.088789,38.13478,62.606567,37.393433,75.43986,24.560146,39.246185,26.929157,31.009333,36.058548,1,2,M0nkey M00n
EU O BDS vs OXG G3 2023-01-27.17.24,2,13,1,5,3,0,507,False,50,434,468.49075,50.49,2654,504,1889,311,765,193,22,4,70,17,144,3,333,26.24,7.719918,20.5,6.0311856,103.41,74.72,66.68,94.87,30.44336,21.997175,19.630241,27.929228,1603,527787,58.7,150.39,145.35,225.43,121.44,7.57,4.39,39,0.11,69.695656,41.008354,42.430313,16.561337,63.601738,34.262497,2.1357634,2829,2908,2771,3316,181,122.29,51.15,239.42,115.02,241.99,112.45,125.1,100,3,104.5,128.6,51.06647,14.431215,34.50231,67.548805,32.45119,68.273895,31.726103,36.804943,29.420418,30.744337,37.83466,1,2,M0nkey M00n
EU O OXG vs BDS G4 2023-01-27.17.24,2,13,1,5,3,0,507,False,50,434,468.5045,50.49,2654,504,1889,311,765,193,22,4,70,17,144,3,326,26.27,7.728971,20.65,6.075495,103.36,74.72,66.79,94.72,30.436703,22.003004,19.667835,27.892458,1602,527946,58.39,150.88,145.11,225.37,121.4,7.6,4.42,39,0.11,69.652176,40.94757,42.575764,16.476664,63.59737,34.25798,2.1446512,2810,2877,2762,3322,180.9,122.33,51.14,239.39,114.98,241.65,112.73,123.8,97.4,3,102.3,126.7,51.04834,14.431245,34.520416,67.55369,32.446312,68.189514,31.810486,36.423546,28.656328,30.097971,37.276764,1,2,M0nkey M00n
EU O BDS vs OXG G2 2023-01-27.17.15,4,14,2,2,3,1,619,False,50,398,422.66513,54.28,2428,430,1465,141,963,289,17,3,88,26,278,178,352,41.6,12.069515,36.96,10.7233,118.99,82.34,55.29,103.35,33.05553,22.874128,15.359613,28.710726,1525,514933,52.98,134.87,174.32,213.22,125.35,23.6,6.1,52,0.12,66.304344,48.13209,37.239418,14.628489,58.872902,34.610817,6.516277,2841,2830,2860,3282,192.77,110.54,58.86,253.74,108.43,280.02,82.16,125.4,95,,102,129.3,53.226383,16.252035,30.521578,70.06102,29.938978,77.31514,22.684853,36.382626,27.562595,29.593523,37.51414,0,0,M0nkey M00n
EU O OXG vs BDS G3 2023-01-27.17.15,4,14,2,2,3,1,619,False,50,397,422.20416,54.29,2425,426,1465,141,960,285,17,3,87,25,269,170,317,41.56,12.05966,37.09,10.762579,119.03,82.28,55.38,103.26,33.06848,22.85873,15.385469,28.687317,1518,514865,52.76,134.72,174.53,213.58,124.98,23.45,6.24,54,0.12,66,48.211372,37.21444,14.5741825,58.998367,34.523907,6.477721,2827,2813,2845,3288,192.58,110.73,58.71,253.86,108.15,280.24,81.77,123.6,92.9,,101.3,126.4,53.195953,16.217335,30.586706,70.12513,29.874865,77.41223,22.587774,35.865593,26.957228,29.394695,36.67808,0,0,M0nkey M00n
EU O OXG vs BDS G1 2023-01-27.17.01,6,4,3,1,1,2,687,True,50,433,462.68616,49.85,2636,632,1828,361,808,271,21,4,77,25,317,49,485,48.72,14.252699,31.28,9.150748,128.05,69.2,47.51,103.07,36.81396,19.894775,13.658972,29.632294,1690,557809,80.57,144.5,131.51,188.89,139.6,28.08,3.94,34,0.12,73.478264,36.88092,40.523865,22.59521,52.974174,39.150803,7.875032,2832,2847,2803,3646,160.16,110.41,86.01,217.98,138.6,278.01,78.57,105.8,113.3,,119.4,108.4,44.915585,24.120813,30.963596,61.130737,38.86926,77.96567,22.034325,30.95106,33.14513,34.929646,31.71167,1,1,M0nkey M00n
EU O BDS vs OXG G0 2023-01-27.16.52,1,3,0,3,0,0,88,False,0,454,296.81885,48.21,1101,344,809,176,292,168,9,2,27,14,101,23,180,6.77,3.0418763,9.88,4.4392524,51.26,28.07,22.33,33.87,37.821884,20.711283,16.476057,24.990778,1690,200975,90.97,41.37,90.54,108.53,96.28,18.07,1.71,13,0.13,73.478264,40.622757,18.561558,40.815685,48.694363,43.19813,8.107502,2985,2691,3526,3826,146.95,39.57,36.35,161.25,61.62,139.65,83.22,134.7,66.6,1,126.8,57.1,65.9353,16.309956,17.754745,72.35159,27.648405,62.659843,37.340153,60.523006,29.924515,56.9734,25.656004,1,1,M0nkey M00n
EU O OXG vs BDS G0 2023-01-27.16.52,1,3,0,3,0,0,88,False,0,454,296.88553,48.21,1101,344,809,176,292,168,9,2,27,14,101,23,180,6.87,3.0875018,9.86,4.4312615,51.34,28.03,22.34,33.81,37.883705,20.683292,16.484652,24.948349,1689,201050,90.67,41.86,90.31,108.46,96.26,18.13,1.73,13,0.13,73.434784,40.526836,18.784779,40.68839,48.669506,43.194973,8.135516,3016,2726,3534,3826,146.84,39.65,36.36,161.26,61.58,139.56,83.29,144.4,54.2,,115.4,66.2,65.89185,16.315907,17.792238,72.36582,27.634178,62.625084,37.374916,64.89596,24.358456,51.86284,29.75147,1,1,M0nkey M00n
