Unnamed: 0,shots,goals,saves,assists,score,mvp,bcpm,avg_amount,amount_collected,amount_stolen,amount_collected_big,amount_collected_small,amount_overfill,amount_used_while_supersonic,percent_zero_boost,percent_full_boost,percent_boost_0_25,percent_boost_25_50,percent_boost_50_75,percent_boost_75_100,count_powerslide,avg_powerslide_duration,avg_speed_percentage,percent_slow_speed,percent_boost_speed,percent_supersonic_speed,percent_ground,percent_low_air,percent_high_air,avg_distance_to_ball,avg_distance_to_ball_possession,avg_distance_to_ball_no_possession,avg_distance_to_mates,goals_against_while_last_defender,percent_defensive_third,percent_offensive_third,percent_neutral_third,percent_defensive_half,percent_offensive_half,percent_behind_ball,percent_infront_ball,percent_most_back,percent_most_forward,percent_closest_to_ball,percent_farthest_from_ball,inflicted,taken,player_name
2023-03-04.19.42 Sonar Kedsypoo Ranked Standard Loss,4,0,0,0,182,0,445.12912,49.52,2408,632,1890,518,325,457,18.52548,11.858403,41.091362,13.206478,20.339676,25.362478,47,0.12,67.478264,44.435013,37.76491,17.80008,54.67362,40.34199,4.9843855,2725,2414,2999,3661,1.0,45.123245,23.518177,31.35858,60.51905,39.48094,72.558586,27.441408,42.824574,30.747429,36.26225,35.923347,1,2,edencroww
2023-03-04.22.35 mando[] Ranked Standard Loss,1,0,1,0,204,0,409.65237,51.47,2139,381,1515,624,306,210,11.366466,13.62316,30.384764,25.290024,17.433617,26.891596,56,0.14,66.13043,44.85366,38.37684,16.769499,56.185925,37.88128,5.932793,3016,2994,3138,3848,,51.61525,19.905077,28.47967,67.04319,32.95681,81.91425,18.085745,49.985638,25.535446,32.81305,38.55852,0,2,edencroww
2023-03-04.19.35 Sonar Kedsypoo Ranked Standard Win,1,0,1,0,204,0,411.81912,51.22,2151,381,1515,636,306,210,11.337311,13.6922035,30.420347,25.272387,17.465025,26.842241,55,0.14,66.17391,44.681316,38.649372,16.669302,56.18674,37.835274,5.977986,3017,3019,3120,3853,,51.621067,19.952555,28.42638,66.97453,33.02546,81.95477,18.045233,50.256866,25.782572,33.02594,38.86531,0,2,edencroww
2023-03-04.22.30 mando[] Ranked Standard Win,3,0,0,0,198,0,396.3515,52.09,2332,245,1612,720,534,367,14.891508,15.34474,35.428234,16.769571,18.998528,28.80367,67,0.16,66.04348,46.821007,35.801983,17.377012,58.934593,34.47966,6.58575,2977,3071,2916,3698,,55.748486,15.753541,28.497978,73.47231,26.527689,70.54477,29.45523,40.281006,33.82245,33.51085,41.6407,1,1,edencroww
2023-03-03.23.36 Piu Ranked Standard Loss,1,0,1,0,190,0,589.3283,50.94,3214,828,2650,564,663,423,14.308416,15.0265875,36.790096,20.11549,18.284916,24.809502,56,0.12,71.86957,37.34566,42.027035,20.627304,52.315754,35.984085,11.700169,2592,2122,3005,3729,,45.999004,22.987799,31.013195,63.632637,36.36736,60.97197,39.02803,28.543488,36.703136,40.339832,30.499357,1,0,edencroww
2023-03-03.23.30 Piu Ranked Standard Loss,1,1,1,0,180,0,578.6071,53.29,1447,194,1177,270,237,327,8.203932,19.360212,30.20042,20.20566,22.77312,26.820803,22,0.1,71.695656,40.18177,39.266724,20.551504,60.48597,36.34846,3.1655746,3116,2929,3398,3982,3.0,56.173107,11.863988,31.962906,77.76816,22.23184,59.243233,40.75677,33.588802,33.05565,26.724422,36.25458,2,1,edencroww
2023-03-02.23.17 JuanLuckyDuck Ranked Standard Loss,2,3,2,0,654,1,417.891,47.13,2138,360,1450,688,161,266,18.37313,8.9715605,40.226463,21.03125,18.24521,20.497072,55,0.13,66.17391,47.82786,37.42108,14.751061,52.955776,38.946476,8.097752,2811,2923,2661,3541,,50.88111,24.01445,25.104446,63.08895,36.91104,76.40093,23.59907,37.20233,28.83018,35.410625,31.208261,2,1,edencroww
2023-03-02.23.27 ehzgodd Ranked Standard Loss,2,0,2,1,360,0,373.25098,49.32,2014,137,1467,547,249,163,8.7783785,9.414672,39.048664,18.619934,23.611328,18.720076,56,0.12,63.304348,50.819523,34.423023,14.75745,48.85868,43.499443,7.6418753,3101,2987,3206,3719,,62.313915,11.350035,26.33605,79.78106,20.21894,72.91291,27.087093,40.555984,30.795366,33.91506,34.131275,0,1,edencroww
2023-03-01.23.56 UnoReverseCard Ranked Standard Loss,6,2,0,0,374,0,463.7934,46.29,3101,530,2447,654,260,438,13.360919,10.970411,43.450455,17.682674,12.041337,26.825531,77,0.12,68.86957,45.16106,38.289295,16.549646,58.303093,35.702934,5.993975,3152,2816,3299,3832,1.0,51.288013,22.996822,25.715168,64.80299,35.197002,70.97348,29.02652,34.872993,37.21614,35.07241,33.477077,2,1,edencroww
2023-03-02.00.29 TayPie ) chat off Ranked Standard Loss,1,0,0,2,218,0,414.4018,42.31,2465,570,1638,827,281,334,14.962174,11.535444,47.98322,23.270737,11.397855,17.348185,72,0.12,65.26087,50.211594,34.41335,15.375052,61.80803,36.933002,1.2589595,3080,3170,2991,3558,2.0,48.03354,25.533604,26.43286,60.64694,39.35306,72.67317,27.326828,40.515553,31.325302,29.083778,33.17456,2,0,edencroww
