Unnamed: 0,shots,goals,saves,assists,score,mvp,bcpm,avg_amount,amount_collected,amount_stolen,amount_collected_big,amount_collected_small,amount_overfill,amount_used_while_supersonic,percent_zero_boost,percent_full_boost,percent_boost_0_25,percent_boost_25_50,percent_boost_50_75,percent_boost_75_100,count_powerslide,avg_powerslide_duration,avg_speed_percentage,percent_slow_speed,percent_boost_speed,percent_supersonic_speed,percent_ground,percent_low_air,percent_high_air,avg_distance_to_ball,avg_distance_to_ball_possession,avg_distance_to_ball_no_possession,avg_distance_to_mates,percent_defensive_third,percent_offensive_third,percent_neutral_third,percent_defensive_half,percent_offensive_half,percent_behind_ball,percent_infront_ball,percent_most_back,percent_most_forward,percent_closest_to_ball,percent_farthest_from_ball,inflicted,taken,player_name
EU H GA vs BDS G4 2023-01-27.16.30,3,1,5,0,606,0,461.30145,50.5,2545,432,1696,849,111,368,10.4465,8.2260895,28.011179,26.770044,20.194733,25.02404,51,0.12,62.739132,53.670715,33.284664,13.0446205,56.39985,36.238064,7.3620887,2624,2576,2680,3499,57.893353,18.298096,23.80855,70.85621,29.143791,70.74232,29.25768,36.160957,28.1554,34.89215,35.43593,1,1,M0nkey M00n
EU H GA vs BDS G3 2023-01-27.16.23,1,0,2,1,399,0,424.15497,53.82,3135,234,2205,930,518,450,10.692945,7.912598,31.007978,18.682772,19.408838,30.900414,53,0.12,67.13043,43.463722,42.948914,13.587363,59.864918,34.098213,6.036873,2747,2643,2834,3600,49.272873,14.648097,36.079025,68.44212,31.557873,77.77973,22.220266,35.04183,27.871107,32.764336,35.537918,0,2,M0nkey M00n
EU H GA vs BDS G2 2023-01-27.16.14,1,0,2,0,410,0,388.70493,57.76,2113,314,1408,705,313,260,4.1881285,11.457566,26.328629,15.45564,25.423832,32.791897,39,0.12,62.130436,52.969967,31.964373,15.065661,54.863815,38.57308,6.563108,2668,2678,2642,3380,52.07782,17.640978,30.281197,64.90151,35.09849,75.46815,24.531857,47.27741,23.945303,33.1739,33.4805,1,1,M0nkey M00n
EU H GA vs BDS G0 2023-01-27.15.59,1,0,1,0,264,0,596.22424,52.12,3095,1260,2577,518,236,322,14.342131,11.388301,37.498318,13.610026,16.422989,32.46867,22,0.15,74.391304,35.615116,38.684277,25.700603,39.278828,48.961952,11.759223,2313,1647,3003,4086,46.959763,28.072374,24.967861,58.349403,41.6506,58.153362,41.84664,45.720154,31.785784,47.93553,32.71688,0,2,M0nkey M00n
EU C QUAD vs BDS G3 2022-10-15.11.36,4,2,3,0,493,1,438.11972,62.72,2386,392,1672,714,656,280,3.338842,8.036479,17.604311,18.857286,23.399323,40.13908,45,0.11,65.304344,47.525524,38.782757,13.69172,62.683945,31.603144,5.7129216,2750,2583,2909,3306,45.218197,17.560144,37.221657,63.830105,36.169895,76.21108,23.788914,31.950054,31.337984,28.8591,33.633247,0,2,M0nkey M00n
EU C QUAD vs BDS G4 2022-10-15.11.43,4,0,2,0,291,0,441.28113,59.33,2294,599,1569,725,404,290,4.1293964,7.787503,15.032848,23.896812,21.724083,39.34626,52,0.12,67.0,43.262386,39.82846,16.909147,63.15321,30.67124,6.175545,2833,2703,2979,3476,48.553005,21.744656,29.702343,64.46202,35.537975,66.32148,33.678528,33.27883,27.82854,29.078901,31.643744,0,1,M0nkey M00n
EU C QUAD vs BDS G5 2022-10-15.11.52,3,0,1,0,376,0,430.4318,56.83,3421,1041,2158,1263,690,399,7.408728,10.543755,20.578785,21.910242,21.229815,36.281162,73,0.12,66.304344,44.962273,38.648964,16.38876,57.939056,33.49243,8.56851,2614,2432,2819,3296,42.54241,18.127058,39.330524,61.757473,38.24253,75.984825,24.015173,28.938705,32.73429,37.997776,30.46952,1,1,M0nkey M00n
EU C QUAD vs BDS G6 2022-10-15.12.01,2,0,2,0,326,0,393.6935,45.94,2135,440,1347,788,63,270,16.260986,4.8927407,50.08132,13.348882,16.248812,20.320988,41,0.11,64.08696,51.527664,36.981174,11.491158,55.564537,37.636536,6.798935,2590,2495,2686,3352,53.01493,18.4457,28.539366,67.22827,32.771725,77.07455,22.925459,34.452026,30.85623,35.15889,29.74983,0,1,M0nkey M00n
EU C QUAD vs BDS G7 2022-10-15.12.12,5,0,6,0,812,0,405.35773,58.32,3677,893,2221,1456,656,635,5.7840004,9.958475,25.764622,21.351957,24.33634,28.547083,82,0.12,66.95652,45.96716,39.61317,14.419664,62.85714,30.253721,6.889134,2683,2544,2825,3380,45.954292,22.21507,31.830631,61.676777,38.32322,78.87334,21.126656,34.450447,25.92511,34.32183,31.529049,0,2,M0nkey M00n
EU C QUAD vs BDS G2 2022-10-15.11.28,1,0,3,0,385,0,441.834,56.17,2589,476,1845,744,390,375,10.526765,9.792935,34.508717,17.627914,17.415667,30.4477,54,0.11,64.608696,48.712017,37.589935,13.6980505,60.341957,33.5045,6.1535425,2672,2472,2773,3603,42.51213,21.509989,35.977882,62.347996,37.652004,70.643005,29.356997,31.685535,36.378635,34.16008,35.610672,3,1,M0nkey M00n
EU C QUAD vs BDS G1 2022-10-15.11.21,4,0,0,0,182,0,370.38416,46.92,1991,284,1166,825,268,281,6.2226768,5.0413914,36.87403,29.920065,17.01684,16.189062,31,0.13,65.26087,47.35157,39.221786,13.426646,60.26591,33.95237,5.7817216,2586,2475,2706,3213,51.657368,16.805416,31.537218,69.87162,30.128382,76.809074,23.190928,43.53083,25.548012,33.70229,31.810995,0,2,M0nkey M00n
2023-01-24.11.19 Player Private Win,2,0,4,0,419,0,488.971,50.06,2734,470,2010,724,205,401,12.993322,8.465482,37.14143,16.031004,23.136322,23.69124,44,0.1,70.21739,41.375896,39.500206,19.123901,53.44421,39.9033,6.652492,2790,2247,3213,3583,50.385925,19.561356,30.052717,66.358894,33.6411,71.22968,28.770315,34.964825,26.082031,35.47156,34.10039,0,3,M0nkey M00n
2023-01-24.11.11 Player Private Win,4,1,1,1,372,0,469.51508,51.6,3174,723,2433,741,310,409,11.506127,10.053993,36.089977,16.757597,16.389088,30.763342,54,0.11,66.565216,45.45155,40.611477,13.936971,56.29689,36.069237,7.6338754,2797,2615,2980,3409,49.052208,19.395578,31.55221,64.69744,35.302555,70.136406,29.863592,32.765465,40.334316,33.825596,38.016815,0,1,M0nkey M00n
2023-01-24.11.01 Player Private Win,4,0,0,1,278,0,453.1093,49.95,2481,496,1781,700,247,196,13.73695,11.046175,33.608047,24.467735,12.989339,28.934874,39,0.12,66.82609,43.131763,44.692398,12.175841,52.743504,40.4889,6.767597,2995,2444,3423,3675,45.24664,20.889122,33.86424,62.337738,37.662262,68.17771,31.822292,37.135117,29.76897,32.6302,36.587223,1,0,M0nkey M00n
2023-01-24.10.53 Player Private Loss,3,2,2,1,468,1,426.59583,48.17,2329,361,1560,769,181,348,10.590102,8.602741,40.119267,22.095112,13.825417,23.960203,43,0.13,65.391304,49.415306,36.77947,13.805221,57.312862,36.46833,6.21881,2781,2668,2893,3372,53.090214,13.71032,33.19947,70.66796,29.332033,79.36217,20.637825,44.417988,21.277893,30.253075,32.115273,0,1,M0nkey M00n
2023-01-24.10.46 Player Private Loss,1,0,0,0,74,0,246.90027,47.31,1145,160,800,345,125,187,5.405211,11.956873,29.964815,32.9065,15.694757,21.433928,20,0.76,56.391304,65.417366,22.600246,11.9823885,61.35148,32.637096,6.011426,3876,3750,4038,4351,72.80666,14.348095,12.845239,79.181984,20.81802,76.12168,23.878319,73.63882,14.986523,23.719677,58.508537,0,2,M0nkey M00n
2023-01-24.10.32 Player Private Loss,1,0,3,1,408,0,434.3501,49.77,2416,470,1762,654,160,350,11.68874,10.349374,34.316708,19.151915,20.352825,26.178558,46,0.12,65.347824,46.813904,40.59144,12.594663,60.19177,35.152176,4.656051,3070,3063,3090,3695,52.351063,16.119095,31.529848,71.67209,28.32791,72.12992,27.870079,46.203632,32.450413,33.22946,39.64164,1,1,M0nkey M00n
2023-01-24.10.24 Player Private Loss,5,1,4,0,544,0,439.38428,58.41,2412,660,1511,901,333,323,7.981905,9.138659,31.153835,14.538851,19.91672,34.3906,42,0.12,66.695656,47.257744,36.778027,15.964233,59.150085,36.12268,4.72723,2846,2572,3037,3436,51.61356,19.66855,28.71789,65.57057,34.42943,67.81325,32.186752,33.06312,33.97395,29.905579,40.07651,1,1,M0nkey M00n
2023-01-24.10.16 Player Private Win,1,0,4,2,504,1,413.978,47.16,2239,674,1316,923,299,254,6.341869,10.42803,33.108006,23.764019,19.241053,23.886927,31,0.11,67.04348,45.64825,39.087574,15.26417,53.224743,41.407707,5.367554,2748,2762,2740,3444,45.463562,23.858753,30.677687,62.29188,37.708122,67.50714,32.492863,29.02838,31.586082,32.911156,34.729282,0,1,M0nkey M00n
